libclang1-21	1:21.1.8-6ubuntu1
libcodec2-1.2:amd64	1.2.0-4
libcom-err2:amd64	1.47.2-3ubuntu4
libcrypt1:amd64	1:4.5.1-1
libcups2t64:amd64	2.4.16-1ubuntu1.3
libcurl3t64-gnutls:amd64	8.18.0-1ubuntu2.4
libdatrie1:amd64	0.2.14-1
libdav1d7:amd64	1.5.3-1
libdb5.3t64:amd64	5.3.28+dfsg2-10ubuntu1
libdbus-1-3:amd64	1.16.2-2ubuntu4
libdconf1:amd64	0.49.0-4
libddcutil5:amd64	2.2.5-1
libdebconfclient0:amd64	0.280ubuntu1
libdecor-0-0:amd64	0.2.5-1
libdeflate0:amd64	1.23-2ubuntu1
libdevmapper1.02.1:amd64	2:1.02.205-2ubuntu3
libdisplay-info3:amd64	0.3.0-1
libdmtx0t64:amd64	0.7.8-1
libdolphinvcs6:amd64	4:25.12.3-0ubuntu1
libdouble-conversion3:amd64	3.4.0-1
libdrm-amdgpu1:amd64	2.4.131-1
libdrm-common	2.4.131-1
libdrm-intel1:amd64	2.4.131-1
libdrm2:amd64	2.4.131-1
libduktape207:amd64	2.7.0+tests-0ubuntu4
libdv4t64:amd64	1.0.0-17.1build2
libdvdnav4:amd64	7.0.0-2
libdvdread8t64:amd64	7.0.1-1
libedit2:amd64	3.1-20251016-1
libegl-mesa0:amd64	26.0.8-1ubuntu0.3
libegl1:amd64	1.7.0-3
libei1:amd64	1.5.0-3
libelf1t64:amd64	0.194-4
libepoxy0:amd64	1.5.10-2build1
libepub0	0.2.2-8
liberror-perl	0.17030-1
libevdev2:amd64	1.13.6+dfsg-1
libexiv2-28:amd64	0.28.8+dfsg-1
libexiv2-data	0.28.8+dfsg-1
libexpat1:amd64	2.7.4-1
libext2fs2t64:amd64	1.47.2-3ubuntu4
libfdisk1:amd64	2.41.3-3ubuntu2.2
libffi8:amd64	3.5.2-4
libfftw3-double3:amd64	3.3.10-2fakesync1build3
libfftw3-single3:amd64	3.3.10-2fakesync1build3
libflac14:amd64	1.5.0+ds-5
libflite1:amd64	2.2-7build1
libfontconfig1:amd64	2.17.1-3ubuntu1
