2026-04-20 18:05:17 install findutils:amd64 <none> 4.10.0-3build2
2026-04-20 18:05:17 status half-installed findutils:amd64 4.10.0-3build2
2026-04-20 18:05:17 status unpacked findutils:amd64 4.10.0-3build2
2026-04-20 18:05:17 install gcc-16-base:amd64 <none> 16-20260322-1ubuntu1
2026-04-20 18:05:17 status half-installed gcc-16-base:amd64 16-20260322-1ubuntu1
2026-04-20 18:05:17 status unpacked gcc-16-base:amd64 16-20260322-1ubuntu1
2026-04-20 18:05:17 install gnu-coreutils:amd64 <none> 9.7-3ubuntu2
2026-04-20 18:05:17 status half-installed gnu-coreutils:amd64 9.7-3ubuntu2
2026-04-20 18:05:17 status unpacked gnu-coreutils:amd64 9.7-3ubuntu2
2026-04-20 18:05:17 install grep:amd64 <none> 3.12-1
2026-04-20 18:05:17 status half-installed grep:amd64 3.12-1
2026-04-20 18:05:17 status unpacked grep:amd64 3.12-1
2026-04-20 18:05:17 install gzip:amd64 <none> 1.14-1~exp2ubuntu1
2026-04-20 18:05:17 status half-installed gzip:amd64 1.14-1~exp2ubuntu1
2026-04-20 18:05:17 status unpacked gzip:amd64 1.14-1~exp2ubuntu1
2026-04-20 18:05:17 install hostname:amd64 <none> 3.25build1
2026-04-20 18:05:17 status half-installed hostname:amd64 3.25build1
2026-04-20 18:05:17 status unpacked hostname:amd64 3.25build1
2026-04-20 18:05:17 install init-system-helpers:all <none> 1.69
2026-04-20 18:05:17 status half-installed init-system-helpers:all 1.69
2026-04-20 18:05:17 status unpacked init-system-helpers:all 1.69
2026-04-20 18:05:17 install libacl1:amd64 <none> 2.3.2-2
2026-04-20 18:05:17 status half-installed libacl1:amd64 2.3.2-2
2026-04-20 18:05:17 status unpacked libacl1:amd64 2.3.2-2
2026-04-20 18:05:17 install libattr1:amd64 <none> 1:2.5.2-4
2026-04-20 18:05:17 status half-installed libattr1:amd64 1:2.5.2-4
2026-04-20 18:05:17 status unpacked libattr1:amd64 1:2.5.2-4
2026-04-20 18:05:17 install libaudit-common:all <none> 1:4.1.2-1build1
2026-04-20 18:05:17 status half-installed libaudit-common:all 1:4.1.2-1build1
2026-04-20 18:05:17 status unpacked libaudit-common:all 1:4.1.2-1build1
